Date,Total_App,F2F,HV,T,V,U,To_Book,GPs
01-Jan-22,"4,383","3,034",99,"1,200",27,23,"1,365","139,142"
02-Jan-22,"4,402","2,788",66,"1,291",119,138,"1,873","139,142"
03-Jan-22,"7,513","5,707",33,"1,538",5,230,"2,987","139,142"
04-Jan-22,"1,296,365","765,296","9,734","479,439","5,689","36,207","752,464","139,142"
05-Jan-22,"1,235,616","738,707","9,004","447,385","5,858","34,662","578,121","139,142"
06-Jan-22,"1,218,180","731,037","8,629","439,007","5,743","33,764","550,672","139,142"
07-Jan-22,"1,172,400","692,900","6,905","435,385","5,341","31,869","553,739","139,142"
08-Jan-22,"38,695","27,967",72,"8,987",255,"1,414","4,759","139,142"
09-Jan-22,"8,204","6,275",17,"1,497",106,309,"2,209","139,142"
10-Jan-22,"1,389,750","813,510","8,890","525,044","6,227","36,079","736,460","139,142"
11-Jan-22,"1,302,609","786,542","9,403","465,987","6,016","34,661","583,473","139,142"
12-Jan-22,"1,225,463","744,215","8,720","434,628","5,627","32,273","538,371","139,142"
13-Jan-22,"1,214,624","739,157","8,728","427,782","5,617","33,340","525,978","139,142"
14-Jan-22,"1,187,330","714,070","7,149","429,434","5,212","31,465","534,965","139,142"
15-Jan-22,"33,628","24,269",87,"8,298",112,862,"4,814","139,142"
16-Jan-22,"6,144","4,319",27,"1,638",32,128,"2,078","139,142"
17-Jan-22,"1,393,491","825,210","8,841","517,911","6,053","35,476","725,689","139,142"
18-Jan-22,"1,305,225","795,422","9,284","461,361","5,865","33,293","575,771","139,142"
19-Jan-22,"1,226,566","749,702","8,791","430,489","5,374","32,210","532,718","139,142"
20-Jan-22,"1,217,158","746,239","8,305","424,468","5,698","32,448","524,497","139,142"
21-Jan-22,"1,191,337","719,719","7,159","427,592","5,282","31,585","536,918","139,142"
22-Jan-22,"30,865","21,280",71,"8,304",323,887,"4,711","139,142"
23-Jan-22,"5,853","3,991",28,"1,653",45,136,"1,906","139,142"
24-Jan-22,"1,400,689","832,126","8,904","517,927","6,040","35,692","727,162","139,142"
25-Jan-22,"1,317,595","805,572","9,203","462,774","6,011","34,035","581,701","139,142"
26-Jan-22,"1,245,412","761,499","8,728","436,610","5,614","32,961","538,871","139,142"
27-Jan-22,"1,231,948","756,019","8,696","428,461","5,510","33,262","532,309","139,142"
28-Jan-22,"1,197,085","724,265","7,173","428,232","5,451","31,964","535,326","139,142"
29-Jan-22,"30,274","21,480",54,"7,953",166,621,"4,639","139,142"
30-Jan-22,"6,430","4,385",31,"1,826",35,153,"2,163","139,142"
31-Jan-22,"1,410,370","838,249","8,838","520,690","6,272","36,321","727,295","139,142"